DateTime,AddedIPs,RemovedIPs
1537966908,1,1
1537968774,1,0
1537970729,2,1
1537972590,1,2
1537974547,1,0
1537976453,2,3
1537980309,2,1
1537984117,2,3
1537986060,1,2
1537987979,0,1
1537989902,1,3
1537991852,1,4
1537993728,2,3
1537995815,0,2
1537998049,0,2
1537999961,3,4
1538001877,0,3
1538003827,0,3
1538007646,2,0
1538009556,1,1
1538011479,0,2
1538013438,1,4
1538015332,2,1
1538017309,0,1
1538019177,1,1
1538021098,2,0
1538023021,2,4
1538024934,0,1
1538028792,0,1
1538030687,1,2
1538032644,2,3
1538034791,1,2
1538036687,0,2
1538038600,0,2
1538040525,2,0
1538042512,0,1
1538046346,3,1
1538048206,1,1
1538050165,1,1
1538052058,2,0
1538053971,1,1
1538055884,2,1
1538057827,0,2
1538059731,2,3
1538063784,1,1
1538065965,1,1
1538069811,1,0
1538071741,0,1
1538077509,1,1
1538079407,0,4
1538083267,2,1
1538087096,1,3
1538089006,1,1
1538090920,0,4
1538092936,3,4
1538094952,3,4
1538096904,2,0
1538099103,0,1
1538101022,0,2
1538102939,0,1
1538104839,0,1
1538106807,0,1
1538108717,0,1
1538110609,2,0
1538114520,1,1
1538118526,1,1
1538120681,0,1
1538122629,2,0
1538126466,1,2
1538128367,2,9
1538132231,8,1
1538134126,0,3
1538136129,0,3
1538137987,1,0
1538139928,0,3
1538141807,0,1
1538145643,1,1
1538147565,0,1
1538151447,1,1
1538153316,1,2
1538155260,1,0
1538157158,0,1
1538159079,2,0
1538161003,2,1
1538162924,1,0
1538164912,2,1
1538166772,0,1
1538168752,0,1
1538170611,2,0
1538174460,0,1
1538176768,2,0
1538178778,2,6
1538180681,3,6
1538182611,0,1
1538184506,3,1
1538192218,1,0
1538197981,1,1
1538199877,1,3
1538201814,0,2
1538205642,0,1
1538207555,1,0
1538211416,1,1
1538213308,0,1
1538217177,0,2
1538219339,1,9
1538221250,2,0
1538223161,2,0
1538225103,3,1
1538227024,1,0
1538228927,1,0
1538230851,0,1
1538232779,2,0
1538234685,1,1
1538236602,0,1
1538238515,2,0
1538240487,0,1
1538242368,3,1
1538244340,3,0
1538246204,1,2
1538248123,5,1
1538250040,1,2
1538251963,1,1
1538255807,5,0
1538257721,0,1
1538259642,8,0
1538261581,2,0
1538263480,1,3
1538265411,0,2
1538267307,2,0
1538269290,1,0
1538271156,2,1
1538273086,1,2
1538274981,3,0
1538278853,1,1
1538280761,1,0
1538284589,3,1
1538286516,2,0
1538288456,1,2
1538290362,1,0
1538294200,1,0
1538298085,1,2
1538299948,1,0
1538301875,2,0
1538305818,1,1
1538307651,1,2
1538309801,2,0
1538311706,1,4
1538313641,1,3
1538315558,3,1
1538319396,1,2
1538325168,1,2
1538327120,1,1
1538328998,1,2
1538330928,0,1
1538332832,1,0
1538334745,5,5
1538336670,2,0
1538338632,2,0
1538342440,1,2
1538346271,1,2
1538348208,1,2
1538352111,1,1
1538353954,1,2
1538355905,1,3
1538359718,3,1
1538361706,1,2
1538365489,1,1
1538367565,1,1
1538369576,2,1
1538371955,0,5
1538375801,0,1
1538377733,0,1
1538379630,1,0
1538381569,1,0
1538385423,0,2
1538387304,1,4
1538393190,0,2
1538395320,0,2
1538397172,1,0
1538401017,0,2
1538402922,1,0
1538406778,1,0
1538408679,1,2
1538410615,2,1
1538412517,0,2
1538414430,1,1
1538416367,0,1
1538418273,2,1
1538420195,0,3
1538422141,0,3
1538424127,0,9
1538425968,0,2
1538427974,1,1
1538430067,3,1
1538431960,1,2
1538433891,0,1
1538435817,1,0
1538437720,2,2
1538439656,2,1
1538441561,1,1
1538443493,2,0
1538445397,1,1
1538447800,0,2
1538451656,0,1
1538453571,1,1
1538455714,1,1
1538457666,2,1
1538459551,2,0
1538461505,1,0
1538463388,1,1
1538467317,0,1
1538469422,3,0
1538471345,1,0
1538473249,4,2
1538475182,3,0
1538477106,1,0
1538478993,2,0
1538480943,2,0
1538483095,1,1
1538485005,1,0
1538486903,3,3
1538488913,0,2
1538492737,0,3
1538496574,1,1
1538498449,1,0
1538500385,2,0
1538502291,0,1
1538504210,1,1
1538506136,0,1
1538508054,2,0
1538509967,1,0
1538514104,1,0
1538515957,1,4
1538517892,7,1
1538521746,5,1
1538523653,1,1
1538525574,0,2
1538527477,0,1
1538529423,2,2
1538531331,3,0
1538535162,1,1
1538537085,0,1
1538539001,1,0
1538540918,1,2
1538543135,1,1
1538545023,3,2
1538547207,1,1
1538551006,1,1
1538552928,1,0
1538554851,1,0
1538558696,9,1
1538560610,4,0
1538562514,1,2
1538564512,4,0
1538566403,0,1
1538568355,2,3
1538570450,1,0
1538572350,2,2
1538574300,1,0
1538576194,1,2
1538578113,1,1
1538580049,0,1
1538581975,1,1
1538583887,0,1
1538587714,0,2
1538589703,1,1
1538591566,1,0
1538593547,2,1
1538595388,1,0
1538597322,2,1
1538599486,0,1
1538601416,2,0
1538603315,0,7
1538605235,2,1
1538607162,0,1
1538609087,0,4
1538610996,2,0
1538615127,2,0
1538616994,4,1
1538618922,0,2
1538620845,2,0
1538622754,1,0
1538624695,0,1
1538626608,2,0
1538628514,1,0
1538630423,1,3
1538632337,0,1
1538634278,1,0
1538636211,1,0
1538638124,0,1
1538640106,2,1
1538643874,1,3
1538645826,1,5
1538647734,0,1
