DateTime,Entries,UniqueIPs
1538102931,714,714
1538104836,724,724
1538106804,726,726
1538108709,730,730
1538110602,733,733
1538112561,735,735
1538114517,729,729
1538116504,726,726
1538118522,723,723
1538120678,723,723
1538122625,732,732
1538124530,724,724
1538126462,703,703
1538128363,699,699
1538130294,699,699
1538132218,704,704
1538134122,702,702
1538136125,705,705
1538137983,700,700
1538139925,693,693
1538141803,697,697
1538143720,684,684
1538145639,683,683
1538147561,681,681
1538149477,687,687
1538151429,682,682
1538153312,675,675
1538155253,672,672
1538157155,674,674
1538159075,684,684
1538160999,684,684
1538162921,691,691
1538164908,690,690
1538166768,688,688
1538168748,692,692
1538170607,690,690
1538172528,678,678
1538174455,685,685
1538176761,683,683
1538178774,694,694
1538180676,689,689
1538182607,689,689
1538184501,684,684
1538186515,681,681
1538188365,677,677
1538190275,661,661
1538192214,653,653
1538194144,647,647
1538196036,645,645
1538197973,639,639
1538199873,621,621
1538201810,619,619
1538203711,614,614
1538205634,613,613
1538207551,609,609
1538209485,603,603
1538211412,601,601
1538213304,603,603
1538215342,595,595
1538217172,587,587
1538219335,573,573
1538221245,568,568
1538223157,558,558
1538225098,560,560
1538227016,558,558
1538228923,553,553
1538230847,553,553
1538232775,544,544
1538234676,542,542
1538236598,537,537
1538238511,540,540
1538240482,543,543
1538242361,536,536
1538244284,530,530
1538246199,526,526
1538248119,525,525
1538250036,525,525
1538251959,520,520
1538253867,512,512
1538255803,502,502
1538257696,496,496
1538259638,486,486
1538261577,482,482
1538263476,478,478
1538265407,475,475
1538267303,463,463
1538269285,461,461
1538271147,464,464
1538273082,465,465
1538274978,463,463
1538276925,471,471
1538278842,475,475
1538280758,479,479
1538282673,481,481
1538284585,488,488
1538286510,490,490
1538288444,486,486
1538290359,484,484
1538292270,481,481
1538294196,473,473
1538296102,469,469
1538298082,463,463
1538299945,470,470
1538301869,472,472
1538303808,482,482
1538305815,492,492
1538307648,500,500
1538309798,497,497
1538311703,501,501
1538313630,506,506
1538315555,514,514
1538317474,520,520
1538319393,537,537
1538321301,535,535
1538323285,545,545
1538325165,539,539
1538327116,542,542
1538328993,547,547
1538330925,548,548
1538332829,545,545
1538334742,547,547
1538336667,547,547
1538338620,560,560
1538340519,566,566
1538342436,573,573
1538344347,589,589
1538346268,598,598
1538348196,605,605
1538350114,603,603
1538352108,613,613
1538353951,621,621
1538355900,620,620
1538357784,621,621
1538359715,622,622
1538361703,631,631
1538363558,635,635
1538365486,638,638
1538367562,634,634
1538369565,636,636
1538371951,642,642
1538373911,650,650
1538375798,660,660
1538377729,667,667
1538379619,673,673
1538381564,672,672
1538383462,673,673
1538385416,680,680
1538387301,686,686
1538389261,685,685
1538391167,680,680
1538393186,680,680
1538395317,690,690
1538397160,700,700
1538399132,698,698
1538401014,699,699
1538402910,695,695
1538404843,694,694
1538406775,682,682
1538408676,680,680
1538410612,674,674
1538412514,683,683
1538414426,686,686
1538416363,683,683
1538418270,680,680
1538420192,682,682
1538422129,682,682
1538424122,676,676
1538425964,677,677
1538427938,680,680
1538430042,677,677
1538431957,665,665
1538433878,674,674
1538435813,678,678
1538437717,682,682
1538439645,681,681
1538441557,680,680
1538443479,688,688
1538445394,695,695
1538447797,689,689
1538449749,684,684
1538451651,680,680
1538453568,681,681
1538455711,677,677
1538457663,678,678
1538459547,672,672
1538461496,672,672
1538463384,673,673
1538465310,668,668
1538467313,665,665
1538469412,665,665
1538471342,656,656
1538473246,666,666
1538475178,678,678
1538477102,691,691
1538478988,695,695
1538480939,693,693
1538483092,695,695
1538485001,696,696
1538486899,700,700
1538488909,697,697
1538490755,699,699
1538492733,701,701
1538494615,690,690
1538496570,688,688
1538498445,688,688
1538500381,674,674
1538502287,668,668
1538504207,671,671
1538506132,669,669
1538508042,666,666
1538509953,666,666
1538511867,658,658
1538514099,660,660
1538515954,658,658
1538517884,650,650
1538519782,651,651
1538521742,635,635
1538523650,625,625
1538525570,618,618
1538527474,617,617
1538529403,609,609
1538531320,604,604
1538533252,612,612
1538535159,605,605
1538537080,608,608
1538538998,602,602
1538540915,606,606
1538543131,603,603
1538545020,600,600
1538547204,593,593
1538549089,588,588
1538551003,585,585
1538552925,580,580
1538554844,591,591
1538556768,593,593
1538558693,598,598
1538560607,584,584
1538562510,571,571
1538564504,564,564
1538566400,560,560
1538568352,551,551
1538570447,537,537
1538572347,529,529
1538574297,531,531
1538576190,529,529
1538578110,528,528
1538580041,526,526
1538581966,521,521
1538583880,519,519
1538585811,507,507
1538587711,506,506
1538589700,509,509
1538591560,508,508
1538593543,509,509
1538595385,509,509
1538597319,516,516
1538599482,522,522
1538601413,509,509
1538603312,513,513
1538605232,519,519
1538607159,517,517
1538609084,518,518
1538610992,520,520
1538612918,525,525
1538615080,534,534
1538616991,535,535
1538618918,530,530
1538620841,542,542
1538622751,543,543
1538624692,552,552
1538626601,546,546
1538628511,549,549
1538630419,554,554
1538632334,564,564
1538634275,565,565
1538636208,573,573
1538638121,577,577
1538640090,576,576
1538641967,577,577
1538643871,574,574
1538645807,567,567
1538647731,567,567
