DateTime,AddedIPs,RemovedIPs
1538246145,0,1
1538248542,1,2
1538249733,0,1
1538251610,1,1
1538253042,1,1
1538254540,0,1
1538255745,4,1
1538257354,0,1
1538258189,1,0
1538259338,0,1
1538260534,1,2
1538261805,2,1
1538263721,1,1
1538265395,1,3
1538266546,2,1
1538267341,2,0
1538268999,1,1
1538270088,0,3
1538271652,1,1
1538272603,2,0
1538276747,1,2
1538278191,0,1
1538279748,1,1
1538281741,0,2
1538283044,1,0
1538284249,2,0
1538285339,1,1
1538288078,2,2
1538289336,0,2
1538290591,3,0
1538293359,0,4
1538295271,1,0
1538296965,0,1
1538298340,1,3
1538299716,0,2
1538301398,0,1
1538302490,0,1
1538304636,2,1
1538305841,1,3
1538307020,1,1
1538307764,1,0
1538308597,1,1
1538309674,0,1
1538311533,1,1
1538314959,2,0
1538316637,1,1
1538318130,1,1
1538319404,2,1
1538320555,1,0
1538322041,3,0
1538323841,2,1
1538324935,0,2
1538325768,1,1
1538327137,0,2
1538328533,1,1
1538329647,0,1
1538331271,1,0
1538332182,2,2
1538333430,1,3
1538334644,0,1
1538335858,1,1
1538337336,1,0
1538338487,1,1
1538340167,2,0
1538341543,0,1
1538343756,1,0
1538345065,1,0
1538346652,0,1
1538348134,0,1
1538349291,1,2
1538350184,0,1
1538351425,2,0
1538352649,1,1
1538354149,2,1
1538355409,1,1
1538358052,3,2
1538358994,1,1
1538360158,1,0
1538361355,2,0
1538363148,0,1
1538363692,2,0
1538364867,2,2
1538368845,0,2
1538370948,2,1
1538372448,1,0
1538373394,2,0
1538374547,1,1
1538375316,0,1
1538377006,1,2
1538378068,2,1
1538379760,0,1
1538380589,1,0
1538381675,0,1
1538384025,1,0
1538385342,0,1
1538388632,1,1
1538389999,0,1
1538390560,1,1
1538391840,1,1
1538393550,0,2
1538394707,1,0
1538395846,0,1
1538397759,1,0
1538398595,2,1
1538399739,0,1
1538401354,0,2
1538402204,2,0
1538404132,0,3
1538404961,0,2
1538407778,2,0
1538408552,1,0
1538411336,2,1
1538412928,0,1
1538414070,1,1
1538416542,1,0
1538417669,0,2
1538419382,1,5
1538420192,3,0
1538421342,0,1
1538422531,0,2
1538423656,1,3
1538425732,0,1
1538427402,1,0
1538428549,1,1
1538429813,3,0
1538432085,1,0
1538434796,3,4
1538435678,3,1
1538436540,1,1
1538437985,2,3
1538439346,0,2
1538441737,2,2
1538442952,1,0
1538444137,1,0
1538446485,1,0
1538447391,1,2
1538448644,1,1
1538449850,3,0
1538450086,0,1
1538451334,1,3
1538453450,0,1
1538455375,0,1
1538457288,1,0
1538460344,2,2
1538461723,3,0
1538463032,0,1
1538464483,1,2
1538465731,1,1
1538466930,2,1
1538468069,3,2
1538469770,0,1
1538471135,1,0
1538472641,1,0
1538474203,1,0
1538475343,1,4
1538477262,1,0
1538478646,1,0
1538482189,0,1
1538484149,1,0
1538485530,1,0
1538487107,1,3
1538489738,4,1
1538491351,1,1
1538493282,0,2
1538494536,2,0
1538496226,1,2
1538498746,2,1
1538499941,0,1
1538501090,2,1
1538502990,0,1
1538504141,1,0
1538504980,2,2
1538506590,0,1
1538507679,2,1
1538508581,2,1
1538509351,1,1
1538510503,2,0
1538511649,0,2
1538512952,3,1
1538514334,0,4
1538515848,0,1
1538517207,1,1
1538518482,4,0
1538519337,1,1
1538521543,2,2
1538523346,1,2
1538525671,1,0
1538528199,1,2
1538529287,0,2
1538530811,0,2
1538532883,1,1
1538534557,2,1
1538535948,1,1
1538538636,1,1
1538540925,1,1
1538542597,2,1
1538543750,1,1
1538544536,2,0
1538545838,1,0
1538548841,0,2
1538551734,0,2
1538553336,0,1
1538556516,1,0
1538557839,0,1
1538558933,1,1
1538559755,1,0
1538561737,1,1
1538565269,2,2
1538567442,1,1
1538568875,1,0
1538570560,1,0
1538572531,0,1
1538575837,0,1
1538577095,0,2
1538578587,1,1
1538579674,1,0
1538581349,6,1
1538584126,1,1
1538584966,2,2
1538585798,0,1
1538586880,2,1
1538589387,0,1
1538590602,0,4
1538594928,2,1
1538596360,4,4
1538597741,4,0
1538599241,0,1
1538600736,2,5
1538602232,2,1
1538604942,0,2
1538606451,2,1
1538607407,4,1
1538608483,1,4
1538610041,0,2
1538611838,2,2
1538614590,1,3
1538615758,2,0
1538617354,0,1
1538620542,2,1
1538622881,1,1
1538625394,2,2
1538626472,0,1
1538628165,0,2
1538629534,2,1
1538630071,1,1
1538632849,2,3
1538634537,1,1
1538636742,1,2
1538638248,1,0
1538642561,1,0
1538643934,1,0
1538647566,0,3
